order_id,customer_name,email,product,category,quantity,unit_price,total_price,order_date,ship_date,region,payment_method
ORD-1175,Mona Ibrahim,mona.ibrahim425@gmail.com,Cable Organizer,Accessories,7.0,8.49,59.43,2024-04-01,2024-04-08,North,Bank Transfer
ORD-1160,Ava Ali,ava.ali630@company.co,Phone Case,Accessories,9.0,15.62,140.58,2024-08-13,2024-08-22,North,Cash on Delivery
ORD-1072,Dina Johnson,dina.johnson71@company.co,Ergonomic Chair,Furniture,6.0,270.75,1321.8,2024-06-12,2024-06-26,West,Credit Card
ORD-1141,Mona Brown,mona.brown889@gmail.com,Desk Lamp,Office,5.0,22.95,114.75,2024-05-16,2024-05-18,Central,PayPal
ORD-1116,Ava Garcia,ava.garcia110@yahoo.com,Desk Lamp,Office,7.0,22.82,159.74,2024-08-11,2024-08-16,East,Credit Card
ORD-1130,Olivia Smith,olivia.smith250@yahoo.com,Wireless Mouse,Electronics,10.0,24.46,244.6,2024-11-18,2024-08-16,Central,PayPal
ORD-1099,Hana Jones,hana.jones902@hotmail.com,Cable Organizer,Accessories,8663.0,7.69,1321.8,2024-09-01,2024-09-11,South,PayPal
ORD-1019,Omar Ali,emma.garcia970@company.co,Mechanical Keyboard,Electronics,3.0,85.76,257.28,2024-12-04,2024-12-14,West,PayPal
ORD-1074,Dina Wilson,dina.wilson275@outlook.com,Notebook Pack (5),Office,4.0,13.85,55.4,2024-02-03,2024-02-08,West,PayPal
ORD-1142,Emma Garcia,emma.garcia230@gmail.com,Mechanical Keyboard,Electronics,6.0,96.21,577.26,2024-05-22,2024-05-24,East,PayPal
ORD-1093,Mohamed Farouk,mohamed.farouk985@company.co,Wireless Mouse,Electronics,10.0,28.33,283.3,2024-10-24,2024-11-04,East,Credit Card
ORD-1050,Khaled Khalil,khaled.khalil568@yahoo.com,Webcam HD,Electronics,4.0,59.04,236.16,2024-05-27,2024-06-07,South,Bank Transfer
ORD-1144,Layla Mansour,layla.mansour720@outlook.com,Wireless Mouse,Electronics,6.0,37.16,151.32,2024-03-11,2024-03-25,South,Cash on Delivery
ORD-1146,Sophie Smith,sophie.smith796@company.co,Laptop Stand,Accessories,10.0,32.09,320.9,2024-01-21,2024-01-24,South,Credit Card
ORD-1014,Ali Davis,ali.davis882@gmail.com,Ergonomic Chair,Furniture,2.0,310.89,621.78,2024-07-27,2024-08-09,East,Bank Transfer
ORD-1103,James Brown,james.brown349@company.co,Laptop Stand,Accessories,6.0,37.24,186.2,2024-04-19,2024-05-01,East,Cash on Delivery
ORD-1012,Karim Brown,karim.brown920@company.co,Screen Protector,Accessories,7.0,9.71,192.64,2024-02-23,2024-03-03,West,Credit Card
ORD-1104,Omar Jones,omar.jones552@hotmail.com,Portable Charger,Electronics,6.0,28.98,173.88,2024-10-23,2024-11-01,West,Cash on Delivery
ORD-1196,Omar Ali,omar.ali463@yahoo.com,USB-C Hub,Electronics,8.0,54.96,439.68,2024-11-10,2024-11-21,East,Bank Transfer
ORD-1094,James Salem,james.salem482@company.co,Bluetooth Speaker,Electronics,8.0,43.32,346.56,2024-03-11,2024-03-21,West,Cash on Delivery
ORD-1187,William Williams,william.williams762@hotmail.com,Desk Lamp,Office,7.0,21.78,152.46,2024-03-13,2024-03-21,West,Bank Transfer
ORD-1068,Omar Garcia,omar.garcia686@gmail.com,"27"" Monitor",Electronics,10.0,381.33,1321.8,2024-06-29,2024-07-11,East,Bank Transfer
